Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Seraing,4100,1,house,house,149000,,2,105,1,1,25,105,2,,10668977,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10668977
,Gent,9000,1,house,house,319000,,3,154,,1,8,55,2,,10667297,to be done up,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10667297
,Braine-l'Alleud,1420,1,house,house,320000,,3,88,1,1,250,405,3,,10667819,good,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10667819
,Anderlecht,1070,1,house,exceptional property,960000,,6,400,1,1,290,1090,3,,10669507,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/anderlecht/1070/10669507
,Waterloo,1410,1,house,villa,498000,,5,140,1,1,700,1132,4,,10666111,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10666111
,Wavre,1300,1,house,villa,435000,isUnderOption,4,185,1,1,526,748,4,,10669505,good,https://www.immoweb.be/en/classified/villa/for-sale/wavre/1300/10669505
,Anderlecht,1070,1,house,house,399000,,4,170,1,1,140,210,2,,10669506,to be done up,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/10669506
,Saint-Nicolas,4420,1,house,house,319000,,3,194,1,1,82,197,2,,10666853,as new,https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/10666853
,Lasne,1380,0,house,villa,995000,,6,300,,,,14631,4,,10666139,to restore,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/10666139
,Geraardsbergen,9500,1,house,house,240000,,3,125,,,,58,2,,10665484,just renovated,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10665484
,Oedelem,8730,1,house,villa,575000,,6,288,,1,475,969,4,,10663298,as new,https://www.immoweb.be/en/classified/villa/for-sale/oedelem/8730/10663298
,Bruxelles,1000,1,house,house,550000,,5,265,,,,110,2,,10664236,to be done up,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10664236
,Gent,9000,1,house,house,272000,,3,119,,,,55,2,,10660214,good,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10660214
,Merendree,9850,1,house,house,435000,,4,165,1,1,110,196,3,,10669126,as new,https://www.immoweb.be/en/classified/house/for-sale/merendree/9850/10669126
,Russeignies,7750,1,house,house,275000,,5,172,1,1,210,818,4,,10660333,good,https://www.immoweb.be/en/classified/house/for-sale/russeignies/7750/10660333
,Ninove,9400,1,house,mansion,615000,,5,450,1,1,1100,1260,4,,10663833,good,https://www.immoweb.be/en/classified/mansion/for-sale/ninove/9400/10663833
,Lede,9340,1,house,house,219000,,3,170,1,1,450,564,3,,10660142,to be done up,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/10660142
,Gavere,9890,1,apartment,apartment,265000,,1,76,1,,,,4,,10656492,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/10656492
